gender,age,tenure,monthlycharges,paymentmethod,industry
0,52.0,3.0,26.87,7,0
1,67.0,1.0,74.6,3,2
1,35.0,6.0,20.15,0,2
1,40.0,39.0,78.22,8,0
0,57.0,66.0,109.25,0,2
1,57.0,13.0,104.94,2,0
1,49.0,4.0,20.2,5,2
0,57.0,3.0,40.3,6,2
1,35.0,59.0,20.2,0,2
0,39.0,68.0,19.6,3,2
1,30.0,41.99999963885063,39.63999880248367,2,1
0,51.0,21.0,74.89,4,0
0,58.0,25.0,61.05,5,2
0,34.0,22.0,44.24,2,1
0,64.0,13.0,44.87,4,1
0,56.0,9.0,74.75,5,2
0,24.0,25.0,54.75,3,2
0,20.0,32.0,61.4,0,2
1,42.0,15.0,37.04,4,1
1,53.0,25.0,47.53,1,0
1,38.0,2.0,48.73,8,1
0,23.0,66.0,57.67,9,0
0,54.0,25.000001002498482,34.86000028431816,4,1
1,33.0,62.0,104.05,5,2
1,55.0,32.0,19.8,6,2
1,38.0,58.0,55.52,2,1
1,60.0,66.0,84.0,6,2
0,53.0,71.0,109.0,0,2
0,38.0,2.0,97.23,2,0
0,36.0,36.0,97.35,0,2
0,27.0,67.0,29.81,1,0
1,46.0,43.0,43.84,4,1
1,21.0,42.0,51.52,8,1
1,70.0,39.0,45.63,4,1
0,55.0,13.0,54.15,0,2
1,55.0,41.0,89.55,5,2
0,69.0,8.0,22.35,4,0
1,54.0,47.0,20.05,6,2
0,23.0,15.0,45.96,2,0
0,30.0,36.0,20.65,9,0
0,52.0,52.0,94.6,0,2
1,33.0,62.0,60.26,7,0
0,35.0,72.0,103.2,3,2
1,36.0,9.0,55.35,5,2
0,70.0,37.0,38.78,2,1
1,55.0,45.0,46.88,2,1
0,40.0,14.0,22.84,7,0
0,47.0,2.0,59.08,2,0
0,68.0,53.0,55.49,2,1
0,62.0,40.0,45.7,2,1
1,18.0,37.0,27.56,8,0
0,60.0,4.0,41.24,2,1
0,49.0,17.999999948977955,48.05000065787592,2,1
1,63.0,59.0,19.35,6,2
0,61.0,43.00000040118392,45.04999908462822,4,1
1,24.0,72.0,61.2,3,2
0,51.0,56.0,38.26,9,0
0,23.0,13.0,38.29,2,1
0,57.0,8.0,36.02,8,1
1,42.0,10.0,66.69,1,0
1,59.0,69.0,19.1,6,2
0,65.0,16.0,112.95,5,2
1,41.0,15.0,101.1,5,2
0,37.0,49.0,84.5,5,2
1,28.0,48.0,78.9,3,2
1,30.0,44.0,60.9,2,1
0,42.0,23.0,20.4,0,2
0,27.0,58.0,46.99,2,0
1,56.0,35.0,52.4,8,1
1,47.0,46.0,63.47,8,1
0,64.0,71.0,118.65,5,2
0,63.0,9.0,65.0,6,2
0,63.0,44.0,49.05,5,2
0,38.0,30.0,32.7,2,0
0,33.0,1.0,82.99,8,0
0,63.0,39.0,107.72,1,0
0,63.0,40.0,43.91,1,0
0,29.0,16.0,70.48,9,0
0,65.0,29.0,44.83,4,1
0,67.0,37.0,99.5,5,2
1,63.0,65.0,90.65,5,2
1,67.0,8.0,20.35,6,2
0,22.0,17.99999789486908,38.589999531598934,2,1
1,58.0,41.0,23.55,2,0
0,38.0,71.0,115.15,3,2
0,35.0,10.0,110.2,8,0
1,45.0,69.0,99.5,0,2
0,54.0,37.0,45.4,5,2
0,43.0,52.0,47.69,2,0
1,50.0,4.0,45.25,6,2
0,35.0,29.0,67.45,6,2
0,33.0,41.0,113.6,0,2
1,56.0,30.0,47.35,4,1
0,53.0,38.0,54.18,4,1
1,39.0,15.0,28.45,8,0
0,64.0,14.0,33.54,2,1
0,40.0,12.0,29.2,6,2
0,47.0,10.0,19.8,0,2
1,19.0,47.0,106.59,7,0
1,70.0,26.0,79.5,9,0
1,42.0,32.0,94.62,9,0
0,34.0,12.0,25.09,4,0
1,64.0,66.0,34.77,1,0
