customer_id,gender,age,tenure,monthlycharges,paymentmethod,churn,industry
TEL_7590-VHVEG,Female,43.0,1.0,29.85,Electronic check,No,Telecom
TEL_5575-GNVDE,Male,46.0,34.0,56.95,Mailed check,No,Telecom
TEL_3668-QPYBK,Male,58.0,2.0,53.85,Mailed check,Yes,Telecom
TEL_7795-CFOCW,Male,32.0,45.0,42.3,Bank transfer (automatic),No,Telecom
TEL_9237-HQITU,Female,31.0,2.0,70.7,Electronic check,Yes,Telecom
TEL_9305-CDSKC,Female,70.0,8.0,99.65,Electronic check,Yes,Telecom
TEL_1452-KIOVK,Male,42.0,22.0,89.1,Credit card (automatic),No,Telecom
TEL_6713-OKOMC,Female,44.0,10.0,29.75,Mailed check,No,Telecom
TEL_7892-POOKP,Female,51.0,28.0,104.8,Electronic check,Yes,Telecom
TEL_6388-TABGU,Male,54.0,62.0,56.15,Bank transfer (automatic),No,Telecom
TEL_9763-GRSKD,Male,62.0,13.0,49.95,Mailed check,No,Telecom
TEL_7469-LKBCI,Male,49.0,16.0,18.95,Credit card (automatic),No,Telecom
TEL_8091-TTVAX,Male,26.0,58.0,100.35,Credit card (automatic),No,Telecom
TEL_0280-XJGEX,Male,29.0,49.0,103.7,Bank transfer (automatic),Yes,Telecom
TEL_5129-JLPIS,Male,39.0,25.0,105.5,Electronic check,No,Telecom
TEL_3655-SNQYZ,Female,27.0,69.0,113.25,Credit card (automatic),No,Telecom
TEL_8191-XWSZG,Female,37.0,52.0,20.65,Mailed check,No,Telecom
TEL_9959-WOFKT,Male,64.0,71.0,106.7,Bank transfer (automatic),No,Telecom
TEL_4190-MFLUW,Female,58.0,10.0,55.2,Credit card (automatic),Yes,Telecom
TEL_4183-MYFRB,Female,58.0,21.0,90.05,Electronic check,No,Telecom
TEL_8779-QRDMV,Male,27.0,1.0,39.65,Electronic check,Yes,Telecom
TEL_1680-VDCWW,Male,52.0,12.0,19.8,Bank transfer (automatic),No,Telecom
TEL_1066-JKSGK,Male,24.0,1.0,20.15,Mailed check,Yes,Telecom
TEL_3638-WEABW,Female,24.0,58.0,59.9,Credit card (automatic),No,Telecom
TEL_6322-HRPFA,Male,64.0,49.0,59.6,Credit card (automatic),No,Telecom
TEL_6865-JZNKO,Female,52.0,30.0,55.3,Bank transfer (automatic),No,Telecom
TEL_6467-CHFZW,Male,37.0,47.0,99.35,Electronic check,Yes,Telecom
TEL_8665-UTDHZ,Male,68.0,1.0,30.2,Electronic check,Yes,Telecom
TEL_5248-YGIJN,Male,38.0,72.0,90.25,Credit card (automatic),No,Telecom
TEL_8773-HHUOZ,Female,22.0,17.0,64.7,Mailed check,Yes,Telecom
TEL_3841-NFECX,Female,20.0,71.0,96.35,Credit card (automatic),No,Telecom
TEL_4929-XIHVW,Male,48.0,2.0,95.5,Credit card (automatic),No,Telecom
TEL_6827-IEAUQ,Female,25.0,27.0,66.15,Mailed check,No,Telecom
TEL_7310-EGVHZ,Male,62.0,1.0,20.2,Bank transfer (automatic),No,Telecom
TEL_3413-BMNZE,Male,62.0,1.0,45.25,Bank transfer (automatic),No,Telecom
TEL_6234-RAAPL,Female,43.0,72.0,99.9,Bank transfer (automatic),No,Telecom
TEL_6047-YHPVI,Male,25.0,5.0,69.7,Electronic check,Yes,Telecom
TEL_6572-ADKRS,Female,53.0,46.0,74.8,Credit card (automatic),No,Telecom
TEL_5380-WJKOV,Male,47.0,34.0,106.35,Electronic check,Yes,Telecom
TEL_8168-UQWWF,Female,58.0,11.0,97.85,Bank transfer (automatic),Yes,Telecom
TEL_8865-TNMNX,Male,55.0,10.0,49.55,Mailed check,No,Telecom
TEL_9489-DEDVP,Female,53.0,70.0,69.2,Credit card (automatic),No,Telecom
TEL_9867-JCZSP,Female,62.0,17.0,20.75,Mailed check,No,Telecom
TEL_4671-VJLCL,Female,32.0,63.0,79.85,Credit card (automatic),No,Telecom
TEL_4080-IIARD,Female,41.0,13.0,76.2,Electronic check,No,Telecom
TEL_3714-NTNFO,Female,37.0,49.0,84.5,Electronic check,No,Telecom
TEL_5948-UJZLF,Male,63.0,2.0,49.25,Mailed check,No,Telecom
TEL_7760-OYPDY,Female,42.0,2.0,80.65,Electronic check,Yes,Telecom
TEL_7639-LIAYI,Male,66.0,52.0,79.75,Credit card (automatic),No,Telecom
TEL_2954-PIBKO,Female,27.0,69.0,64.15,Credit card (automatic),No,Telecom
TEL_8012-SOUDQ,Female,62.0,43.0,90.25,Electronic check,No,Telecom
TEL_9420-LOJKX,Female,39.0,15.0,99.1,Credit card (automatic),Yes,Telecom
TEL_6575-SUVOI,Female,58.0,25.0,69.5,Credit card (automatic),No,Telecom
TEL_7495-OOKFY,Female,48.0,8.0,80.65,Credit card (automatic),Yes,Telecom
TEL_4667-QONEA,Female,39.0,60.0,74.85,Credit card (automatic),No,Telecom
TEL_1658-BYGOY,Male,45.0,18.0,95.45,Electronic check,Yes,Telecom
TEL_8769-KKTPH,Female,22.0,63.0,99.65,Credit card (automatic),No,Telecom
TEL_5067-XJQFU,Male,23.0,66.0,108.45,Electronic check,No,Telecom
TEL_3957-SQXML,Female,44.0,34.0,24.95,Credit card (automatic),No,Telecom
TEL_5954-BDFSG,Female,61.0,72.0,107.5,Credit card (automatic),No,Telecom
TEL_0434-CSFON,Female,28.0,47.0,100.5,Electronic check,No,Telecom
TEL_1215-FIGMP,Male,50.0,60.0,89.9,Bank transfer (automatic),No,Telecom
TEL_0526-SXDJP,Male,43.0,72.0,42.1,Bank transfer (automatic),No,Telecom
TEL_0557-ASKVU,Female,41.0,18.0,54.4,Credit card (automatic),No,Telecom
TEL_5698-BQJOH,Female,37.0,9.0,94.4,Electronic check,Yes,Telecom
TEL_5122-CYFXA,Female,55.0,3.0,75.3,Electronic check,No,Telecom
TEL_8627-ZYGSZ,Male,49.0,47.0,78.9,Electronic check,No,Telecom
TEL_3410-YOQBQ,Female,67.0,31.0,79.2,Mailed check,No,Telecom
