customer_id,gender,age,tenure,monthlycharges,paymentmethod,churn,industry
TEL_7590-VHVEG,Female,36.0,1.0,29.85,Electronic check,0,Telecom
TEL_5575-GNVDE,Male,62.0,34.0,56.95,Mailed check,0,Telecom
TEL_3668-QPYBK,Male,36.0,2.0,53.85,Mailed check,1,Telecom
TEL_7795-CFOCW,Male,64.0,45.0,42.3,Bank transfer (automatic),0,Telecom
TEL_9237-HQITU,Female,41.0,2.0,70.7,Electronic check,1,Telecom
TEL_9305-CDSKC,Female,37.0,8.0,99.65,Electronic check,1,Telecom
TEL_1452-KIOVK,Male,57.0,22.0,89.1,Credit card (automatic),0,Telecom
TEL_6713-OKOMC,Female,38.0,10.0,29.75,Mailed check,0,Telecom
TEL_7892-POOKP,Female,59.0,28.0,104.8,Electronic check,1,Telecom
TEL_6388-TABGU,Male,66.0,62.0,56.15,Bank transfer (automatic),0,Telecom
TEL_9763-GRSKD,Male,55.0,13.0,49.95,Mailed check,0,Telecom
TEL_7469-LKBCI,Male,54.0,16.0,18.95,Credit card (automatic),0,Telecom
TEL_8091-TTVAX,Male,59.0,58.0,100.35,Credit card (automatic),0,Telecom
TEL_0280-XJGEX,Male,51.0,49.0,103.7,Bank transfer (automatic),1,Telecom
TEL_5129-JLPIS,Male,65.0,25.0,105.5,Electronic check,0,Telecom
TEL_3655-SNQYZ,Female,44.0,69.0,113.25,Credit card (automatic),0,Telecom
TEL_8191-XWSZG,Female,32.0,52.0,20.65,Mailed check,0,Telecom
TEL_9959-WOFKT,Male,42.0,71.0,106.7,Bank transfer (automatic),0,Telecom
TEL_4190-MFLUW,Female,21.0,10.0,55.2,Credit card (automatic),1,Telecom
TEL_4183-MYFRB,Female,66.0,21.0,90.05,Electronic check,0,Telecom
TEL_8779-QRDMV,Male,36.0,1.0,39.65,Electronic check,1,Telecom
TEL_1680-VDCWW,Male,48.0,12.0,19.8,Bank transfer (automatic),0,Telecom
TEL_1066-JKSGK,Male,47.0,1.0,20.15,Mailed check,1,Telecom
TEL_3638-WEABW,Female,21.0,58.0,59.9,Credit card (automatic),0,Telecom
TEL_6322-HRPFA,Male,70.0,49.0,59.6,Credit card (automatic),0,Telecom
TEL_6865-JZNKO,Female,58.0,30.0,55.3,Bank transfer (automatic),0,Telecom
TEL_6467-CHFZW,Male,64.0,47.0,99.35,Electronic check,1,Telecom
TEL_8665-UTDHZ,Male,26.0,1.0,30.2,Electronic check,1,Telecom
TEL_5248-YGIJN,Male,46.0,72.0,90.25,Credit card (automatic),0,Telecom
TEL_8773-HHUOZ,Female,66.0,17.0,64.7,Mailed check,1,Telecom
TEL_3841-NFECX,Female,45.0,71.0,96.35,Credit card (automatic),0,Telecom
TEL_4929-XIHVW,Male,26.0,2.0,95.5,Credit card (automatic),0,Telecom
TEL_6827-IEAUQ,Female,60.0,27.0,66.15,Mailed check,0,Telecom
TEL_7310-EGVHZ,Male,28.0,1.0,20.2,Bank transfer (automatic),0,Telecom
TEL_3413-BMNZE,Male,43.0,1.0,45.25,Bank transfer (automatic),0,Telecom
TEL_6234-RAAPL,Female,35.0,72.0,99.9,Bank transfer (automatic),0,Telecom
TEL_6047-YHPVI,Male,26.0,5.0,69.7,Electronic check,1,Telecom
TEL_6572-ADKRS,Female,60.0,46.0,74.8,Credit card (automatic),0,Telecom
TEL_5380-WJKOV,Male,47.0,34.0,106.35,Electronic check,1,Telecom
TEL_8168-UQWWF,Female,41.0,11.0,97.85,Bank transfer (automatic),1,Telecom
TEL_8865-TNMNX,Male,40.0,10.0,49.55,Mailed check,0,Telecom
TEL_9489-DEDVP,Female,50.0,70.0,69.2,Credit card (automatic),0,Telecom
TEL_9867-JCZSP,Female,45.0,17.0,20.75,Mailed check,0,Telecom
TEL_4671-VJLCL,Female,59.0,63.0,79.85,Credit card (automatic),0,Telecom
TEL_4080-IIARD,Female,53.0,13.0,76.2,Electronic check,0,Telecom
TEL_3714-NTNFO,Female,67.0,49.0,84.5,Electronic check,0,Telecom
TEL_5948-UJZLF,Male,68.0,2.0,49.25,Mailed check,0,Telecom
TEL_7760-OYPDY,Female,38.0,2.0,80.65,Electronic check,1,Telecom
TEL_7639-LIAYI,Male,55.0,52.0,79.75,Credit card (automatic),0,Telecom
TEL_2954-PIBKO,Female,34.0,69.0,64.15,Credit card (automatic),0,Telecom
TEL_8012-SOUDQ,Female,62.0,43.0,90.25,Electronic check,0,Telecom
TEL_9420-LOJKX,Female,45.0,15.0,99.1,Credit card (automatic),1,Telecom
TEL_6575-SUVOI,Female,44.0,25.0,69.5,Credit card (automatic),0,Telecom
TEL_7495-OOKFY,Female,38.0,8.0,80.65,Credit card (automatic),1,Telecom
TEL_4667-QONEA,Female,20.0,60.0,74.85,Credit card (automatic),0,Telecom
TEL_1658-BYGOY,Male,42.0,18.0,95.45,Electronic check,1,Telecom
TEL_8769-KKTPH,Female,21.0,63.0,99.65,Credit card (automatic),0,Telecom
TEL_5067-XJQFU,Male,29.0,66.0,108.45,Electronic check,0,Telecom
TEL_3957-SQXML,Female,22.0,34.0,24.95,Credit card (automatic),0,Telecom
TEL_5954-BDFSG,Female,61.0,72.0,107.5,Credit card (automatic),0,Telecom
TEL_0434-CSFON,Female,58.0,47.0,100.5,Electronic check,0,Telecom
TEL_1215-FIGMP,Male,41.0,60.0,89.9,Bank transfer (automatic),0,Telecom
TEL_0526-SXDJP,Male,51.0,72.0,42.1,Bank transfer (automatic),0,Telecom
TEL_0557-ASKVU,Female,60.0,18.0,54.4,Credit card (automatic),0,Telecom
TEL_5698-BQJOH,Female,41.0,9.0,94.4,Electronic check,1,Telecom
TEL_5122-CYFXA,Female,30.0,3.0,75.3,Electronic check,0,Telecom
TEL_8627-ZYGSZ,Male,42.0,47.0,78.9,Electronic check,0,Telecom
TEL_3410-YOQBQ,Female,56.0,31.0,79.2,Mailed check,0,Telecom
TEL_3170-NMYVV,Female,21.0,50.0,20.15,Bank transfer (automatic),0,Telecom
TEL_7410-OIEDU,Male,21.0,10.0,79.85,Mailed check,0,Telecom
TEL_2273-QCKXA,Male,24.0,1.0,49.05,Mailed check,0,Telecom
TEL_0731-EBJQB,Female,51.0,52.0,20.4,Electronic check,0,Telecom
TEL_1891-QRQSA,Male,61.0,64.0,111.6,Bank transfer (automatic),0,Telecom
TEL_8028-PNXHQ,Male,23.0,62.0,24.25,Bank transfer (automatic),0,Telecom
TEL_5630-AHZIL,Female,68.0,3.0,64.5,Bank transfer (automatic),0,Telecom
TEL_2673-CXQEU,Female,37.0,56.0,110.5,Electronic check,0,Telecom
TEL_6416-JNVRK,Female,68.0,46.0,55.65,Credit card (automatic),0,Telecom
TEL_5590-ZSKRV,Female,66.0,8.0,54.65,Mailed check,0,Telecom
TEL_0191-ZHSKZ,Male,50.0,30.0,74.75,Electronic check,0,Telecom
TEL_3887-PBQAO,Female,50.0,45.0,25.9,Credit card (automatic),0,Telecom
TEL_5919-TMRGD,Female,62.0,1.0,79.35,Electronic check,1,Telecom
TEL_8108-UXRQN,Female,52.0,11.0,50.55,Electronic check,0,Telecom
